FID,GEOID,FIPS,NAME,15TOTAL,OV65_Total15,20TOTAL,OVER65_20,25TOTAL,OVER65_25
93,0600000US0900368940,900368940,Simsbury town,23343,3788,23208,4331,22854,5108
94,0600000US0900370550,900370550,Southington town,44295,8962,45141,10214,45806,11565
95,0600000US0900371390,900371390,South Windsor town,26089,4590,26172,5335,26112,6237
96,0600000US0900374540,900374540,Suffield town,15768,2454,15766,2697,15778,3036
97,0600000US0900382590,900382590,West Hartford town,63261,11621,63007,12625,62850,14009
98,0600000US0900384900,900384900,Wethersfield town,27051,5768,27342,6131,27636,6714
99,0600000US0900387000,900387000,Windsor town,29455,5303,29700,6338,29775,7342
100,0600000US0900387070,900387070,Windsor Locks town,12781,2293,12997,2610,13152,3065
101,0600000US0900714300,900714300,Chester town,3996,992,3973,1195,3946,1416
102,0600000US0900715350,900715350,Clinton town,13125,2562,12841,3132,12417,3621
103,0600000US0900718080,900718080,Cromwell town,14470,2660,14853,3119,15169,3654
104,0600000US0900719130,900719130,Deep River town,4581,874,4488,1065,4346,1227
105,0600000US0900720810,900720810,Durham town,7623,1192,7803,1470,7968,1802
106,0600000US0900722280,900722280,East Haddam town,9341,1611,9463,2098,9530,2621
107,0600000US0900722490,900722490,East Hampton town,12740,2161,12693,2854,12392,3624
108,0600000US0900726270,900726270,Essex town,6644,1763,6562,2062,6442,2370
109,0600000US0900735230,900735230,Haddam town,8784,1501,9128,1942,9423,2396
110,0600000US0900740710,900740710,Killingworth town,6608,1477,6618,1810,6582,2165
111,0600000US0900747080,900747080,Middlefield town,4477,825,4483,985,4479,1199
112,0600000US0900747360,900747360,Middletown town,49482,7199,51373,8430,52922,9939
113,0600000US0900757320,900757320,Old Saybrook town,9993,2996,9640,3282,9226,3586
114,0600000US0900761800,900761800,Portland town,9815,1804,10017,2218,10159,2608
115,0600000US0900781680,900781680,Westbrook town,7187,1737,7365,2061,7498,2408
116,0600000US0900502760,900502760,Barkhamsted town,3881,686,3935,894,3969,1081
117,0600000US0900504930,900504930,Bethlehem town,3678,727,3708,974,3722,1156
118,0600000US0900508210,900508210,Bridgewater town,1663,513,1576,536,1460,581
119,0600000US0900510940,900510940,Canaan town,1233,344,1224,391,1205,437
120,0600000US0900516050,900516050,Colebrook town,1480,275,1467,353,1443,427
121,0600000US0900517240,900517240,Cornwall town,1384,371,1335,459,1265,521
122,0600000US0900532290,900532290,Goshen town,3095,696,3177,888,3241,1061
123,0600000US0900537280,900537280,Harwinton town,5742,1135,5776,1341,5787,1609
124,0600000US0900540290,900540290,Kent town,3008,790,2989,969,2932,1109
125,0600000US0900543370,900543370,Litchfield town,8465,1993,8411,2322,8293,2603
126,0600000US0900549460,900549460,Morris town,2435,460,2461,595,2474,726
127,0600000US0900551350,900551350,New Hartford town,7294,1228,7554,1620,7775,2046
128,0600000US0900552630,900552630,New Milford town,28231,4237,28058,5098,27702,6306
