year,sex,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
2000,1,114129,125003,123706,111291,95103,99980,122733,142480,142749,123872,110241,85621,62409,54050,49952,41214,26854,17932
2000,2,109215,119141,117881,105336,92468,101487,127440,148386,147434,128882,117812,91340,69243,63506,64057,59882,46395,46341
2010,1,103475,113763,122924,128949,117117,107986,102038,108637,127555,141757,138961,116699,96939,70258,47331,37908,30369,26948
2010,2,98631,108808,117341,121885,110781,106159,104194,113764,134482,149515,145364,123458,106356,79023,58332,51344,47096,57950
2020,1,109526,115723,113731,121731,121464,126542,121681,114043,104905,108938,126079,133804,121357,95739,73776,48356,28007,24413
2020,2,104398,110682,108566,115063,114893,124401,124252,119425,110601,114900,131888,141553,133146,107682,90923,65495,43433,52499
2030,1,114497,121605,120489,123939,112480,119566,126310,133759,125211,114461,103783,102918,110205,109869,92441,65952,43694,25464
2030,2,109137,116308,115017,117149,106395,117543,128979,140071,132011,120725,108565,108878,120910,123576,113927,89328,67760,54758
2040,1,115318,124825,126404,130699,119586,122165,117382,126832,130434,134724,124311,108518,91037,84807,84244,75954,54942,33813
2040,2,109920,119388,120663,123539,113116,120098,119862,132817,137517,142097,130038,114803,99881,95387,103824,102875,85204,72713
