department,searches_caucasian,hits_caucasian,hitrate_caucasian,searches_noncaucasian,hits_noncaucasian,hitrate_noncaucasian,searches_noncaucasian_or_hispanic,hits_noncaucasian_or_hispanic,hitrate_noncaucasian_or_hispanic,searches_black,hits_black,hitrate_black,searches_hispanic,hits_hispanic,hitrate_hispanic,searches_black_or_hispanic,hits_black_or_hispanic,hitrate_black_or_hispanic
Watertown,4,1,0.25,5,1,0.2,6,1,0.16666666666666666,5,1,0.2,5,1,0,6,1,0.16666666666666666
Vernon,55,18,0.32727272727272727,75,23,0.30666666666666664,86,24,0.27906976744186046,72,23,0.3194444444444444,66,19,0,83,24,0.2891566265060241
New Canaan,17,6,0.35294117647058826,19,7,0.3684210526315789,19,7,0.3684210526315789,18,6,0.3333333333333333,18,7,0,19,7,0.3684210526315789
Yale,4,2,0.5,15,3,0.2,22,8,0.36363636363636365,15,3,0.2,11,7,0,22,8,0.36363636363636365
Woodbridge,4,2,0.5,5,3,0.6,6,4,0.6666666666666666,5,3,0.6,5,3,0,6,4,0.6666666666666666
New Britain,30,10,0.3333333333333333,56,14,0.25,117,29,0.24786324786324787,55,13,0.23636363636363636,92,26,0,117,29,0.24786324786324787
Rocky Hill,23,4,0.17391304347826086,28,7,0.25,34,7,0.20588235294117646,28,7,0.25,29,4,0,34,7,0.20588235294117646
Avon,3,1,0.3333333333333333,3,1,0.3333333333333333,3,1,0.3333333333333333,3,1,0.3333333333333333,3,1,0,3,1,0.3333333333333333
New Haven,64,17,0.265625,359,57,0.15877437325905291,443,73,0.16478555304740405,354,57,0.16101694915254236,152,33,0,442,73,0.16515837104072398
Bethel,7,5,0.7142857142857143,10,6,0.6,12,6,0.5,10,6,0.6,9,5,0,12,6,0.5
Bristol,25,6,0.24,29,6,0.20689655172413793,44,13,0.29545454545454547,29,6,0.20689655172413793,40,13,0,44,13,0.29545454545454547
Suffield,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0,1,0,0.0
Newtown,4,4,1.0,4,4,1.0,4,4,1.0,4,4,1.0,4,4,1,4,4,1.0
Old Saybrook,11,4,0.36363636363636365,13,4,0.3076923076923077,13,4,0.3076923076923077,13,4,0.3076923076923077,11,4,0,13,4,0.3076923076923077
State Police - Troop H,57,10,0.17543859649122806,128,20,0.15625,177,24,0.13559322033898305,125,20,0.16,108,14,0,176,24,0.13636363636363635
Wilton,5,4,0.8,5,4,0.8,6,4,0.6666666666666666,5,4,0.8,6,4,0,6,4,0.6666666666666666
Branford,60,16,0.26666666666666666,65,16,0.24615384615384617,69,16,0.2318840579710145,65,16,0.24615384615384617,64,16,0,69,16,0.2318840579710145
State Police - Troop G,40,8,0.2,109,20,0.1834862385321101,141,26,0.18439716312056736,101,18,0.1782178217821782,78,15,0,140,26,0.18571428571428572
Ridgefield,3,1,0.3333333333333333,3,1,0.3333333333333333,3,1,0.3333333333333333,3,1,0.3333333333333333,3,1,0,3,1,0.3333333333333333
Wolcott,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0,1,0,0.0
Redding,2,0,0.0,2,0,0.0,4,0,0.0,2,0,0.0,4,0,0,4,0,0.0
Greenwich,9,2,0.2222222222222222,20,4,0.2,32,4,0.125,13,2,0.15384615384615385,23,3,0,32,4,0.125
State Police - Troop I,47,24,0.5106382978723404,77,27,0.35064935064935066,101,35,0.3465346534653465,75,27,0.36,71,32,0,99,35,0.35353535353535354
State Police - Other,22,5,0.22727272727272727,32,8,0.25,40,10,0.25,31,8,0.25806451612903225,31,7,0,40,10,0.25
Seymour,2,0,0.0,5,1,0.2,7,1,0.14285714285714285,5,1,0.2,4,0,0,7,1,0.14285714285714285
Simsbury,4,1,0.25,4,1,0.25,4,1,0.25,4,1,0.25,4,1,0,4,1,0.25
Shelton,5,0,0.0,6,0,0.0,7,0,0.0,6,0,0.0,6,0,0,7,0,0.0
Westport,72,16,0.2222222222222222,105,23,0.21904761904761905,120,24,0.2,102,22,0.21568627450980393,87,17,0,117,23,0.19658119658119658
Norwalk,74,8,0.10810810810810811,211,27,0.12796208530805686,279,40,0.14336917562724014,166,22,0.13253012048192772,145,21,0,278,40,0.14388489208633093
Farmington,6,1,0.16666666666666666,6,1,0.16666666666666666,8,1,0.125,6,1,0.16666666666666666,8,1,0,8,1,0.125
Wethersfield,92,14,0.15217391304347827,129,20,0.15503875968992248,190,31,0.1631578947368421,128,20,0.15625,153,25,0,189,31,0.164021164021164
Glastonbury,59,22,0.3728813559322034,77,29,0.37662337662337664,88,32,0.36363636363636365,74,28,0.3783783783783784,72,26,0,87,32,0.367816091954023
Trumbull,13,4,0.3076923076923077,20,7,0.35,25,9,0.36,19,7,0.3684210526315789,18,6,0,24,9,0.375
Stonington,3,1,0.3333333333333333,3,1,0.3333333333333333,3,1,0.3333333333333333,3,1,0.3333333333333333,3,1,0,3,1,0.3333333333333333
East Hampton,8,4,0.5,10,5,0.5,10,5,0.5,10,5,0.5,8,4,0,10,5,0.5
Southington,10,8,0.8,11,8,0.7272727272727273,12,9,0.75,11,8,0.7272727272727273,11,9,0,12,9,0.75
Willimantic,56,20,0.35714285714285715,75,25,0.3333333333333333,129,35,0.2713178294573643,70,24,0.34285714285714286,111,30,0,128,35,0.2734375
