,tax_year,town,fed_agi,ct_agi,ct_income_tax,fed_eitc_claimed,num_eitc_credits_claimed,amount_of_eitc_claimed,percent_by_town,avg_ct_amt_per_claim,avg_fed_amount_per_claim
,2012,Farmington,9856900,9810181,23208,878939,583,263682,.23%, $452 ," $1,508 "
,2012,Franklin,1061870,1061642,2208,114411,56,34323,.03%, $613 ," $2,043 "
,2012,Glastonbury,12444940,12396080,35335,1171116,705,351335,.31%, $498 ," $1,661 "
,2012,Goshen,1626026,1614599,3648,137930,89,41379,.04%, $465 ," $1,550 "
,2012,Granby,3870707,3842377,8815,362772,216,108832,.1%, $504 ," $1,680 "
,2012,Greenwich,21122247,21034473,61918,2169210,1265,651554,.58%, $515 ," $1,715 "
,2012,Griswold,13495059,13385471,33787,1347535,692,404261,.36%, $584 ," $1,947 "
,2012,Groton,29688064,29539446,100270,3341311,1602,1002500,.89%, $626 ," $2,086 "
,2012,Guilford,7544343,7520652,23157,602489,468,180746,.16%, $386 ," $1,287 "
,2012,Haddam,3787919,3753525,8889,352316,211,105695,.09%, $501 ," $1,670 "
,2012,Hamden,47540594,47329206,151396,4862893,2539,1459025,1.3%, $575 ," $1,915 "
,2012,Hampton,1258903,1242276,1959,131513,85,39454,.04%, $464 ," $1,547 "
,2012,Hartford,290769176,290239924,841900,37478143,16109,11235893,10.01%, $697 ," $2,327 "
,2012,Hartland,915947,913526,3193,73896,51,22169,.02%, $435 ," $1,449 "
,2012,Harwinton,2278170,2260401,6027,216760,118,65028,.06%, $551 ," $1,837 "
,2012,Hebron,3709130,3682553,10455,307271,203,92181,.08%, $454 ," $1,514 "
,2012,Kent,1684876,1679602,7354,176644,115,52993,.05%, $461 ," $1,536 "
,2012,Killingly,22399394,22295358,59552,2327863,1151,697998,.62%, $606 ," $2,022 "
,2012,Killingworth,1647526,1637919,4473,142684,111,42805,.04%, $386 ," $1,285 "
,2012,Lebanon,5325070,5308031,16689,483021,264,144907,.13%, $549 ," $1,830 "
,2012,Ledyard,11906269,11626779,41767,1128734,614,338623,.3%, $552 ," $1,838 "
,2012,Lisbon,2818610,2793485,7871,232349,143,69705,.06%, $487 ," $1,625 "
,2012,Litchfield,3656317,3635450,8025,380335,239,114100,.1%, $477 ," $1,591 "
,2012,Lyme,577203,572426,844,46386,42,13916,.01%, $331 ," $1,104 "
,2012,Madison,4811835,4750463,14093,377471,287,113240,.1%, $395 ," $1,315 "
,2012,Manchester,67366483,67152290,192650,7089770,3589,2126288,1.89%, $592 ," $1,975 "
,2012,Mansfield ,7908527,7887004,26228,701413,396,210425,.19%, $531 ," $1,771 "
,2012,Marlborough,2371509,2363374,7555,212246,140,63673,.06%, $455 ," $1,516 "
,2012,Meriden,91976630,91726432,289081,10616851,4825,3184195,2.84%, $660 ," $2,200 "
,2012,Middlebury ,2952646,2939127,8284,274419,157,82326,.07%, $524 ," $1,748 "
,2012,Middlefield,2240108,2216697,3729,212796,119,63831,.06%, $536 ," $1,788 "
,2012,Middletown,44391449,44256287,138689,4736799,2422,1420418,1.27%, $586 ," $1,956 "
,2012,Milford ,28362706,28150790,75924,2722937,1698,816880,.73%, $481 ," $1,604 "
,2012,Monroe,7674878,7640116,22216,624821,408,187444,.17%, $459 ," $1,531 "
,2012,Montville,17548503,17422864,55122,1692096,890,506365,.45%, $569 ," $1,901 "
,2012,Morris,1275249,1268584,1877,124421,80,37326,.03%, $467 ," $1,555 "
,2012,Naugatuck,36250260,36100297,105722,3732234,1863,1119039,1.%, $601 ," $2,003 "
,2012,New Britain,137781595,137400887,389957,16913514,7385,5072034,4.52%, $687 ," $2,290 "
,2012,New Canaan," (1,430,100)"," (1,461,562)",7926,240047,176,72014,.06%, $409 ," $1,364 "
,2012,New Fairfield,5744022,5698015,17893,527477,291,157302,.14%, $541 ," $1,813 "
,2012,New Hartford,3969360,3956118,10362,298134,221,89440,.08%, $405 ," $1,349 "
,2012,New Haven,206981259,206669823,575289,25861667,11605,7754294,6.91%, $668 ," $2,228 "
,2012,New London,49736748,49630886,140105,6286883,2738,1885129,1.68%, $689 ," $2,296 "
,2012,New Milford,19012350,18892105,54332,1741376,1025,522411,.47%, $510 ," $1,699 "
,2012,Newington,20318861,20179221,54608,1785751,1064,535727,.48%, $504 ," $1,678 "
,2012,Newtown,8883002,8825482,21392,848378,554,254474,.23%, $459 ," $1,531 "
,2012,Norfolk,1046993,1043985,2459,96768,67,29030,.03%, $433 ," $1,444 "
,2012,North Branford,7545115,7462274,21757,652621,407,195788,.17%, $481 ," $1,603 "
,2012,North Canaan,649720,648313,1220,51194,31,15359,.01%, $495 ," $1,651 "
,2012,North Haven,12556591,12488789,43061,1036948,709,311085,.28%, $439 ," $1,463 "
,2012,North Stonington,3392715,3381695,9707,320085,178,95407,.08%, $536 ," $1,798 "
,2012,Norwalk,80203812,79983998,214423,8701836,4503,2609609,2.32%, $580 ," $1,932 "
,2012,Norwich,67921495,67666634,200442,7927294,3630,2377917,2.12%, $655 ," $2,184 "
,2012,Old Lyme,3151439,3142741,8762,270798,198,81240,.07%, $410 ," $1,368 "
,2012,Old Saybrook,4921850,4884401,16995,423798,275,127141,.11%, $462 ," $1,541 "
,2012,Orange,4122012,4098773,9931,344263,265,103278,.09%, $390 ," $1,299 "
,2012,Oxford,4767185,4739640,11927,453828,271,136148,.12%, $502 ," $1,675 "
,2012,Plainfield,19705276,19531735,55248,1921879,967,576559,.51%, $596 ," $1,987 "
,2012,Plainville,14655592,14563789,40805,1329248,785,398772,.36%, $508 ," $1,693 "
,2012,Plymouth,10785863,10718506,31096,968483,560,290544,.26%, $519 ," $1,729 "
,2012,Pomfret,2483020,2469251,6639,223591,126,67077,.06%, $532 ," $1,775 "
,2012,Portland,5041244,5027604,11356,524275,285,157283,.14%, $552 ," $1,840 "
,2012,Preston,2875806,2849948,5668,288265,152,86479,.08%, $569 ," $1,896 "
,2012,Prospect,4708269,4670820,9336,417461,271,125238,.11%, $462 ," $1,540 "
,2012,Putnam ,12688909,12642713,34138,1278103,652,383430,.34%, $588 ," $1,960 "
,2012,Redding,1669288,1661027,3301,155507,117,46653,.04%, $399 ," $1,329 "
,2012,Ridgefield,4478601,4457480,11904,406081,280,121824,.11%, $435 ," $1,450 "
,2012,Rocky Hill,10098510,10052192,36074,880265,558,264079,.24%, $473 ," $1,578 "
,2012,Roxbury,842641,824869,2312,90535,50,27161,.02%, $543 ," $1,811 "
,2012,Salem,2171835,2156618,5246,175649,119,52075,.05%, $438 ," $1,476 "
,2012,Salisbury,2124513,2132167,6238,201668,128,60501,.05%, $473 ," $1,576 "
,2012,Scotland,589353,587885,1171,47904,38,14372,.01%, $378 ," $1,261 "
,2012,Seymour,11562971,11513508,34422,1121304,635,335724,.3%, $529 ," $1,766 "
,2012,Sharon,1276053,1272828,2043,110946,85,33283,.03%, $392 ," $1,305 "
,2012,Shelton ,21601464,21500115,61794,2117611,1231,635277,.57%, $516 ," $1,720 "
,2012,Sherman,1682310,1670529,4737,174391,92,52317,.05%, $569 ," $1,896 "
,2012,Simsbury,6967734,6929176,20148,624132,398,187240,.17%, $470 ," $1,568 "
,2012,Somers ,4267235,4214832,10936,416527,239,124958,.11%, $523 ," $1,743 "
,2012,South Windsor,11967981,11911193,32481,1055584,624,316675,.28%, $507 ," $1,692 "
,2012,Southbury ,5766261,5698306,19448,500658,345,150196,.13%, $435 ," $1,451 "
,2012,Southington,25059915,24936121,69655,2162668,1355,648802,.58%, $479 ," $1,596 "
,2012,Sprague,4088958,4073055,13577,449143,202,134742,.12%, $667 ," $2,223 "
,2012,Stafford,2876244,2864000,8847,273446,185,82033,.07%, $443 ," $1,478 "
,2012,Stamford,110004800,109710600,297136,11734746,6143,3516346,3.13%, $572 ," $1,910 "
,2012,Sterling,3582585,3562089,10116,343364,184,103010,.09%, $560 ," $1,866 "
,2012,Stonington,14126507,14054459,41266,1410134,814,423042,.38%, $520 ," $1,732 "
,2012,Stratford,51347914,51073612,155640,5150621,2635,1544317,1.38%, $586 ," $1,955 "
,2012,Suffield,5101391,5057238,15844,459692,304,137908,.12%, $454 ," $1,512 "
,2012,Thomaston,6900448,6826853,18836,623286,365,186987,.17%, $512 ," $1,708 "
,2012,Thompson,8334701,8291741,19155,778918,413,233675,.21%, $566 ," $1,886 "
,2012,Tolland,5263991,5232316,18491,406942,272,122081,.11%, $449 ," $1,496 "
,2012,Torrington,41278944,41107202,114342,4222935,2211,1267748,1.13%, $573 ," $1,910 "
,2012,Trumbull,12596293,12518365,31656,1078388,736,323516,.29%, $440 ," $1,465 "
,2012,Union,337232,326515,667,35961,20,10788,.01%, $539 ," $1,798 "
,2012,Vernon,29444212,29352753,88879,2995028,1556,898386,.8%, $577 ," $1,925 "
,2012,Voluntown,1937045,1925768,4909,208618,109,62585,.06%, $574 ," $1,914 "
,2012,Wallingford,28342291,28148365,76397,2638815,1518,790506,.7%, $521 ," $1,738 "
,2012,Warren,475514,467925,1152,51447,28,15434,.01%, $551 ," $1,837 "
,2012,Washington,2316168,2289180,7027,179632,126,53890,.05%, $428 ," $1,426 "
,2012,Waterbury,212797524,212304628,544387,26999249,11551,8096467,7.21%, $701 ," $2,337 "
,2012,Waterford,13139126,13069536,38138,1300945,750,390283,.35%, $520 ," $1,735 "
,2012,Watertown,14860400,14782055,37229,1407013,820,421677,.38%, $514 ," $1,716 "
,2012,West Hartford,36665695,36467724,92650,3765617,2051,1128389,1.01%, $550 ," $1,836 "
,2012,West Haven,76174093,75923586,213718,8349140,4062,2504130,2.23%, $616 ," $2,055 "
,2012,Westbrook,4096997,4083995,12593,362895,247,108868,.1%, $441 ," $1,469 "
,2012,Weston,627638,612533,2598,122780,95,36834,.03%, $388 ," $1,292 "
,2012,Westport,3278707,3256591,11534,469840,340,142522,.13%, $419 ," $1,382 "
,2012,Wethersfield,16811309,16718607,46540,1558616,909,468130,.42%, $515 ," $1,715 "
,2012,Willington,3238360,3222184,12787,262422,175,78726,.07%, $450 ," $1,500 "
,2012,Wilton,2558279,2528089,6979,236680,189,71003,.06%, $376 ," $1,252 "
,2012,Winchester,13895876,13816519,39790,1375534,722,412660,.37%, $572 ," $1,905 "
,2012,Windham,39852747,39719671,101604,4772057,2114,1430856,1.27%, $677 ," $2,257 "
,2012,Windsor,27318423,27194779,92548,2480254,1423,743524,.66%, $523 ," $1,743 "
,2012,Windsor Locks,12270950,12217993,39715,1115879,620,334764,.3%, $540 ," $1,800 "
,2012,Wolcott,11071179,10991737,30278,1126799,623,338039,.3%, $543 ," $1,809 "
,2012,Woodbridge,2583354,2559618,5899,240218,160,72067,.06%, $450 ," $1,501 "
,2012,Woodbury,4509595,4470104,11402,393332,260,118000,.11%, $454 ," $1,513 "
,2012,Woodstock,5036722,4982724,13010,393202,251,117659,.1%, $469 ," $1,567 "
,2012,Connecticut,,,,368705181,183322,110566775,, $603 ," $2,011 "
