,tax_year,town,fed_agi,ct_agi,ct_income_tax,fed_eitc_claimed,num_eitc_credits_claimed,amount_of_eitc_claimed,percent_by_town,avg_ct_amt_per_claim,avg_fed_amount_per_claim
,2012,Andover,1658224,1646052,4958,138779,84,41634,.04%, $496 ," $1,652 "
,2012,Ansonia,28866035,28698607,98574,2963180,1511,887421,.79%, $587 ," $1,961 "
,2012,Ashford,3725097,3708780,10424,351652,203,104895,.09%, $517 ," $1,732 "
,2012,Avon,4167760,4133977,8160,351047,261,105314,.09%, $404 ," $1,345 "
,2012,Barkhamsted,1946122,1930969,6491,162023,108,48606,.04%, $450 ," $1,500 "
,2012,Beacon Falls,4081721,4031649,12920,327099,211,98129,.09%, $465 ," $1,550 "
,2012,Berlin,9248681,9203236,21367,860042,545,258011,.23%, $473 ," $1,578 "
,2012,Bethany,1903894,1893620,3643,188004,110,56401,.05%, $513 ," $1,709 "
,2012,Bethel,11203313,11135487,41444,1102681,627,329266,.29%, $525 ," $1,759 "
,2012,Bethlehem,1190534,1190460,3425,164379,106,49314,.04%, $465 ," $1,551 "
,2012,Bloomfield,23534136,23820048,76747,2202979,1246,660897,.59%, $530 ," $1,768 "
,2012,Bolton,2076094,2069937,5566,191174,114,57351,.05%, $503 ," $1,677 "
,2012,Bozrah,2413763,2406438,8620,194796,117,58439,.05%, $499 ," $1,665 "
,2012,Branford,17050774,16933554,39692,1610408,1007,483121,.43%, $480 ," $1,599 "
,2012,Bridgeport,293647155,292829880,757740,36318685,15966,10890292,9.7%, $682 ," $2,275 "
,2012,Bridgewater,668576,668436,1932,53835,36,16151,.01%, $449 ," $1,495 "
,2012,Bristol,63376582,63170637,191827,6606413,3379,1981723,1.77%, $586 ," $1,955 "
,2012,Brookfield,6078208,6052086,17574,504480,340,151344,.13%, $445 ," $1,484 "
,2012,Brooklyn,7271142,7220943,23027,706513,391,211955,.19%, $542 ," $1,807 "
,2012,Burlington,3148987,3138648,9013,271017,188,81306,.07%, $432 ," $1,442 "
,2012,Canaan,4277839,4271284,12304,429954,225,128617,.11%, $572 ," $1,911 "
,2012,Canterbury,4394349,4351318,11296,403958,224,121186,.11%, $541 ," $1,803 "
,2012,Canton,3917294,3880943,10647,357439,238,106184,.09%, $446 ," $1,502 "
,2012,Chaplin,2026844,2015816,4420,217562,113,65269,.06%, $578 ," $1,925 "
,2012,Cheshire,9350259,9249324,22519,832745,546,249823,.22%, $458 ," $1,525 "
,2012,Chester,1944052,1928060,7446,184905,140,55472,.05%, $396 ," $1,321 "
,2012,Clinton,8197184,8139021,21575,800802,489,240240,.21%, $491 ," $1,638 "
,2012,Colchester,11636882,11551671,36598,1013618,586,304013,.27%, $519 ," $1,730 "
,2012,Colebrook,252620,252620,370,22960,13,6888,.01%, $530 ," $1,766 "
,2012,Columbia,2547276,2543784,6369,230630,135,69189,.06%, $513 ," $1,708 "
,2012,Cornwall,779462,777055,1008,78504,48,23551,.02%, $491 ," $1,636 "
,2012,Coventry,7448937,7400648,20848,681247,396,204374,.18%, $516 ," $1,720 "
,2012,Cromwell,7629213,7612431,19680,721589,427,216477,.19%, $507 ," $1,690 "
,2012,Danbury ,85059763,84746446,231250,9099886,4464,2728832,2.43%, $611 ," $2,039 "
,2012,Darien,3092991,3074830,11764,262342,184,78703,.07%, $428 ," $1,426 "
,2012,Deep River,2623469,2619439,8313,259557,171,77866,.07%, $455 ," $1,518 "
,2012,Derby,14679378,14623322,42553,1614988,803,484766,.43%, $604 ," $2,011 "
,2012,Durham,2254989,2246839,7664,182245,137,54674,.05%, $399 ," $1,330 "
,2012,East Granby,2370908,2349560,6496,224332,130,67300,.06%, $518 ," $1,726 "
,2012,East Haddam,4559998,4533918,12133,384276,231,115283,.1%, $499 ," $1,664 "
,2012,East Hampton,6695755,6642811,19315,542453,354,162735,.14%, $460 ," $1,532 "
,2012,East Hartford,96906494,96625313,304768,10566898,4915,3169900,2.82%, $645 ," $2,150 "
,2012,East Haven,29131514,29021517,79950,2838971,1569,851687,.76%, $543 ," $1,809 "
,2012,East Lyme,9083580,9407107,28033,885847,543,265755,.24%, $489 ," $1,631 "
,2012,East Windsor,10479682,10436769,37099,985533,545,295597,.26%, $542 ," $1,808 "
,2012,Eastford,1015146,1026343,2260,97644,51,29293,.03%, $574 ," $1,915 "
,2012,Easton,1180290,1174570,4601,96584,85,28975,.03%, $341 ," $1,136 "
,2012,Ellington,7177278,7134340,22348,598542,387,179563,.16%, $464 ," $1,547 "
,2012,Enfield,34778818,34592304,104824,3433694,1894,1029810,.92%, $544 ," $1,813 "
,2012,Essex,3360603,3354144,9369,294486,192,88346,.08%, $460 ," $1,534 "
,2012,Fairfield,17588188,17499066,46994,1758026,1124,527345,.47%, $469 ," $1,564 "
