"Department","Group","hr_c","hr_group","searches","hits","pval"
"Ansonia","Hispanic",0.130434782608696,0.148148148148148,27,4,0.53
"Berlin","Hispanic",0.25,0.222222222222222,9,2,0.57
"Bethel","Hispanic",0.714285714285714,0.555555555555556,9,5,0.07
"Bloomfield","Hispanic",0,0.333333333333333,3,1,0.08
"Branford","Hispanic",0.266666666666667,0.25,64,16,0.23
"Bridgeport","Hispanic",0.1,0.0303030303030303,66,2,0.07
"Bristol","Hispanic",0.24,0.325,40,13,0.14
"Canton","Hispanic",0.5,0.470588235294118,17,8,0.33
"Cheshire","Hispanic",0.5,0.470588235294118,34,16,0.18
"Clinton","Hispanic",0.321428571428571,0.32258064516129,62,20,0.95
"Coventry","Hispanic",0.333333333333333,0.428571428571429,7,3,0.13
"Danbury","Hispanic",0.272727272727273,0.266666666666667,15,4,1
"Darien","Hispanic",0.388888888888889,0.37037037037037,27,10,0.78
"Derby","Hispanic",0.15,0.136363636363636,22,3,0.59
"East Hartford","Hispanic",0.342857142857143,0.293333333333333,75,22,0.38
"Enfield","Hispanic",0.304347826086957,0.36,25,9,0.05
"Fairfield","Hispanic",0.307692307692308,0.25,16,4,0.27
"Farmington","Hispanic",0.166666666666667,0.125,8,1,0.54
"Glastonbury","Hispanic",0.372881355932203,0.361111111111111,72,26,0.66
"Greenwich","Hispanic",0.222222222222222,0.130434782608696,23,3,0.29
"Groton City","Hispanic",0.294117647058824,0.28,25,7,0.88
"Groton Town","Hispanic",0.5,0.444444444444444,9,4,0.34
"Hamden","Hispanic",0.3125,0.25,20,5,0.21
"Hartford","Hispanic",0.142857142857143,0.125,32,4,0.94
"Madison","Hispanic",0.25,0.2,10,2,0.43
"Manchester","Hispanic",0.4,0.447368421052632,38,17,0.42
"Meriden","Hispanic",0.0789473684210526,0.139240506329114,79,11,0.14
"Middletown","Hispanic",0.370967741935484,0.34965034965035,143,50,0.15
"Milford","Hispanic",0.217391304347826,0.214285714285714,182,39,0.86
"Monroe","Hispanic",0.363636363636364,0.416666666666667,12,5,0.22
"Naugatuck","Hispanic",0.161290322580645,0.166666666666667,114,19,0.62
"New Britain","Hispanic",0.333333333333333,0.282608695652174,92,26,0.45
"New Canaan","Hispanic",0.352941176470588,0.388888888888889,18,7,0.2
"New Haven","Hispanic",0.265625,0.217105263157895,152,33,0.22
"Newington","Hispanic",0.0909090909090909,0.0810810810810811,37,3,0.79
"North Haven","Hispanic",0.258064516129032,0.230769230769231,39,9,0.43
"Norwalk","Hispanic",0.108108108108108,0.144827586206897,145,21,0.21
"Norwich","Hispanic",0.278846153846154,0.242647058823529,136,33,0.08
"Old Saybrook","Hispanic",0.363636363636364,0.363636363636364,11,4,0.49
"Orange","Hispanic",0.1,0.0909090909090909,11,1,0.74
"Plainville","Hispanic",0.252747252747253,0.309090909090909,110,34,0.01
"Plymouth","Hispanic",0.0731707317073171,0.0961538461538462,52,5,0.25
"Rocky Hill","Hispanic",0.173913043478261,0.137931034482759,29,4,0.27
"SCSU","Hispanic",0.333333333333333,0.25,4,1,0.5
