"Department","Group","hr_c","hr_group","searches","hits","pval"
"South Windsor","Hispanic",0.173913043478261,0.192307692307692,26,5,0.51
"Southington","Hispanic",0.8,0.818181818181818,11,9,0.62
"State Police - Other","Hispanic",0.227272727272727,0.225806451612903,31,7,0.98
"State Police - Troop A","Hispanic",0.372549019607843,0.295774647887324,142,42,0
"State Police - Troop B","Hispanic",0.166666666666667,0.186046511627907,43,8,0.49
"State Police - Troop C","Hispanic",0.404040404040404,0.347517730496454,141,49,0.04
"State Police - Troop D","Hispanic",0.320512820512821,0.357894736842105,95,34,0.06
"State Police - Troop E","Hispanic",0.227272727272727,0.19811320754717,106,21,0.25
"State Police - Troop F","Hispanic",0.407407407407407,0.353846153846154,65,23,0.03
"State Police - Troop G","Hispanic",0.2,0.192307692307692,78,15,0.98
"State Police - Troop H","Hispanic",0.175438596491228,0.12962962962963,108,14,0.12
"State Police - Troop I","Hispanic",0.51063829787234,0.450704225352113,71,32,0.23
"State Police - Troop K","Hispanic",0.242424242424242,0.224489795918367,98,22,0.51
"State Police - Troop L","Hispanic",0.211111111111111,0.192982456140351,114,22,0.3
"Stratford","Hispanic",0.148148148148148,0.179487179487179,39,7,0.49
"Torrington","Hispanic",0.189189189189189,0.197674418604651,86,17,0.62
"Trumbull","Hispanic",0.307692307692308,0.333333333333333,18,6,0.71
"Vernon","Hispanic",0.327272727272727,0.287878787878788,66,19,0.29
"Wallingford","Hispanic",0.397058823529412,0.348314606741573,89,31,0.15
"Waterbury","Hispanic",0.428571428571429,0.244444444444444,45,11,0.01
"Waterford","Hispanic",0.354166666666667,0.345454545454545,55,19,0.72
"Watertown","Hispanic",0.25,0.2,5,1,0.58
"West Hartford","Hispanic",0.475961538461538,0.425287356321839,261,111,0
"West Haven","Hispanic",0.238095238095238,0.161290322580645,31,5,0.09
"Westport","Hispanic",0.222222222222222,0.195402298850575,87,17,0.15
"Wethersfield","Hispanic",0.152173913043478,0.163398692810458,153,25,0.64
"Willimantic","Hispanic",0.357142857142857,0.27027027027027,111,30,0.04
"Wilton","Hispanic",0.8,0.666666666666667,6,4,0.12
"Windsor","Hispanic",0,0.333333333333333,3,1,0.08
"Woodbridge","Hispanic",0.5,0.6,5,3,0.36
"Yale","Hispanic",0.5,0.636363636363636,11,7,0.48
"Ansonia","Black",0.130434782608696,0.12,25,3,0.586
"Bethel","Black",0.714285714285714,0.6,10,6,0.26
"Bloomfield","Black",0,0.166666666666667,12,2,0.512
"Branford","Black",0.266666666666667,0.246153846153846,65,16,0.184
"Bridgeport","Black",0.1,0.0434782608695652,69,3,0.206
"Bristol","Black",0.24,0.206896551724138,29,6,0.271
"Canton","Black",0.5,0.473684210526316,19,9,0.596
"Cheshire","Black",0.5,0.447368421052632,38,17,0.148
"Cromwell","Black",0.6,0.5,6,3,0.35
"Danbury","Black",0.272727272727273,0.285714285714286,14,4,1
"Darien","Black",0.388888888888889,0.5,26,13,0.089
"Derby","Black",0.15,0.115384615384615,26,3,0.361
"East Hampton","Black",0.5,0.5,10,5,1
"East Hartford","Black",0.342857142857143,0.343137254901961,102,35,0.919
"Enfield","Black",0.304347826086957,0.269230769230769,26,7,0.826
"Fairfield","Black",0.307692307692308,0.32,25,8,1
"Glastonbury","Black",0.372881355932203,0.378378378378378,74,28,0.771
"Greenwich","Black",0.222222222222222,0.153846153846154,13,2,0.822
"Groton City","Black",0.294117647058824,0.233333333333333,30,7,0.604
"Groton Town","Black",0.5,0.384615384615385,13,5,0.279
"Hamden","Black",0.3125,0.166666666666667,42,7,0.036
"Hartford","Black",0.142857142857143,0.266666666666667,45,12,0.208
"Manchester","Black",0.4,0.375,48,18,0.709
"Meriden","Black",0.0789473684210526,0.220588235294118,68,15,0.002
"Middletown","Black",0.370967741935484,0.323699421965318,173,56,0.04
"Milford","Black",0.217391304347826,0.186274509803922,204,38,0.09
"Monroe","Black",0.363636363636364,0.333333333333333,12,4,0.46
"Naugatuck","Black",0.161290322580645,0.188034188034188,117,22,0.045
"New Britain","Black",0.333333333333333,0.236363636363636,55,13,0.122
"New Canaan","Black",0.352941176470588,0.333333333333333,18,6,0.683
"New Haven","Black",0.265625,0.161016949152542,354,57,0.01
"New Milford","Black",0.238095238095238,0.217391304347826,23,5,0.435
"Newington","Black",0.0909090909090909,0.133333333333333,30,4,0.257
"North Haven","Black",0.258064516129032,0.216216216216216,37,8,0.088
"Norwalk","Black",0.108108108108108,0.132530120481928,166,22,0.513
"Norwich","Black",0.278846153846154,0.259259259259259,162,42,0.627
"Old Saybrook","Black",0.363636363636364,0.307692307692308,13,4,0.334
"Orange","Black",0.1,0.0833333333333333,12,1,0.64
"Plainfield","Black",0.357142857142857,0.4,15,6,0.205
"Plainville","Black",0.252747252747253,0.240384615384615,104,25,0.435
"Plymouth","Black",0.0731707317073171,0.0652173913043478,46,3,0.417
"Rocky Hill","Black",0.173913043478261,0.25,28,7,0.046
"SCSU","Black",0.333333333333333,0.4,10,4,0.898
"Seymour","Black",0,0.2,5,1,0.273
"South Windsor","Black",0.173913043478261,0.193548387096774,31,6,0.753
"Southington","Black",0.8,0.727272727272727,11,8,0.087
"State Police - Other","Black",0.227272727272727,0.258064516129032,31,8,0.512
"State Police - Troop A","Black",0.372549019607843,0.341463414634146,164,56,0.927
"State Police - Troop B","Black",0.166666666666667,0.19047619047619,42,8,0.027
"State Police - Troop C","Black",0.404040404040404,0.349593495934959,123,43,0.017
"State Police - Troop D","Black",0.320512820512821,0.344086021505376,93,32,0.168
"State Police - Troop E","Black",0.227272727272727,0.194444444444444,108,21,0.089
"State Police - Troop F","Black",0.407407407407407,0.333333333333333,72,24,0.012
"State Police - Troop G","Black",0.2,0.178217821782178,101,18,0.904
"State Police - Troop H","Black",0.175438596491228,0.16,125,20,0.883
"State Police - Troop I","Black",0.51063829787234,0.36,75,27,0.005
"State Police - Troop K","Black",0.242424242424242,0.27710843373494,83,23,0.182
"State Police - Troop L","Black",0.211111111111111,0.19,100,19,0.085
"Stratford","Black",0.148148148148148,0.177777777777778,45,8,0.709
"Torrington","Black",0.189189189189189,0.191489361702128,94,18,0.869
"Trumbull","Black",0.307692307692308,0.368421052631579,19,7,0.419
"UCONN","Black",0.444444444444444,0.409090909090909,22,9,0.083
"Vernon","Black",0.327272727272727,0.319444444444444,72,23,0.832
"Wallingford","Black",0.397058823529412,0.4,80,32,0.665
"Waterbury","Black",0.428571428571429,0.256410256410256,39,10,0.004
"Waterford","Black",0.354166666666667,0.385964912280702,57,22,0.148
"Watertown","Black",0.25,0.2,5,1,0.576
"West Hartford","Black",0.475961538461538,0.463519313304721,233,108,0.379
"West Haven","Black",0.238095238095238,0.194444444444444,36,7,0.434
"Westport","Black",0.222222222222222,0.215686274509804,102,22,0.829
"Wethersfield","Black",0.152173913043478,0.15625,128,20,0.839
"Willimantic","Black",0.357142857142857,0.342857142857143,70,24,0.536
"Windsor Locks","Black",0,0.1,10,1,0.015
"Woodbridge","Black",0.5,0.6,5,3,0.361
"Yale","Black",0.5,0.2,15,3,0.08
"Ansonia","Non-caucasian",0.130434782608696,0.12,25,3,0.586
"Bethel","Non-caucasian",0.714285714285714,0.6,10,6,0.26
"Bloomfield","Non-caucasian",0,0.153846153846154,13,2,0.512
"Branford","Non-caucasian",0.266666666666667,0.246153846153846,65,16,0.184
"Bridgeport","Non-caucasian",0.1,0.038961038961039,77,3,0.184
"Bristol","Non-caucasian",0.24,0.206896551724138,29,6,0.271
"Canton","Non-caucasian",0.5,0.45,20,9,0.369
"Cheshire","Non-caucasian",0.5,0.447368421052632,38,17,0.148
"Cromwell","Non-caucasian",0.6,0.5,6,3,0.35
"Danbury","Non-caucasian",0.272727272727273,0.266666666666667,15,4,1
"Darien","Non-caucasian",0.388888888888889,0.5,26,13,0.089
"Derby","Non-caucasian",0.15,0.115384615384615,26,3,0.361
"East Hampton","Non-caucasian",0.5,0.5,10,5,1
"East Hartford","Non-caucasian",0.342857142857143,0.346153846153846,104,36,0.96
"Enfield","Non-caucasian",0.304347826086957,0.296296296296296,27,8,0.826
"Fairfield","Non-caucasian",0.307692307692308,0.307692307692308,26,8,1
"Glastonbury","Non-caucasian",0.372881355932203,0.376623376623377,77,29,0.902
"Greenwich","Non-caucasian",0.222222222222222,0.2,20,4,0.822
"Groton City","Non-caucasian",0.294117647058824,0.25,32,8,0.604
"Groton Town","Non-caucasian",0.5,0.384615384615385,13,5,0.279
"Hamden","Non-caucasian",0.3125,0.148148148148148,54,8,0.036
"Hartford","Non-caucasian",0.142857142857143,0.266666666666667,45,12,0.208
"Manchester","Non-caucasian",0.4,0.375,48,18,0.709
"Meriden","Non-caucasian",0.0789473684210526,0.217391304347826,69,15,0.002
"Middletown","Non-caucasian",0.370967741935484,0.323699421965318,173,56,0.04
"Milford","Non-caucasian",0.217391304347826,0.184466019417476,206,38,0.083
"Monroe","Non-caucasian",0.363636363636364,0.333333333333333,12,4,0.46
"Naugatuck","Non-caucasian",0.161290322580645,0.191666666666667,120,23,0.056
"New Britain","Non-caucasian",0.333333333333333,0.25,56,14,0.122
"New Canaan","Non-caucasian",0.352941176470588,0.368421052631579,19,7,0.683
"New Haven","Non-caucasian",0.265625,0.158774373259053,359,57,0.01
"New Milford","Non-caucasian",0.238095238095238,0.208333333333333,24,5,0.342
"Newington","Non-caucasian",0.0909090909090909,0.129032258064516,31,4,0.322
"North Haven","Non-caucasian",0.258064516129032,0.2,40,8,0.088
"Norwalk","Non-caucasian",0.108108108108108,0.127962085308057,211,27,0.526
"Norwich","Non-caucasian",0.278846153846154,0.261904761904762,168,44,0.548
"Old Saybrook","Non-caucasian",0.363636363636364,0.307692307692308,13,4,0.334
"Orange","Non-caucasian",0.1,0.0833333333333333,12,1,0.64
"Plainfield","Non-caucasian",0.357142857142857,0.4,15,6,0.205
"Plainville","Non-caucasian",0.252747252747253,0.238095238095238,105,25,0.369
"Plymouth","Non-caucasian",0.0731707317073171,0.0851063829787234,47,4,0.417
"Rocky Hill","Non-caucasian",0.173913043478261,0.25,28,7,0.046
"SCSU","Non-caucasian",0.333333333333333,0.363636363636364,11,4,1
"Seymour","Non-caucasian",0,0.2,5,1,0.273
"South Windsor","Non-caucasian",0.173913043478261,0.1875,32,6,0.753
"Southington","Non-caucasian",0.8,0.727272727272727,11,8,0.087
"State Police - Other","Non-caucasian",0.227272727272727,0.25,32,8,0.635
"State Police - Troop A","Non-caucasian",0.372549019607843,0.345454545454545,165,57,0.927
"State Police - Troop B","Non-caucasian",0.166666666666667,0.227272727272727,44,10,0.027
"State Police - Troop C","Non-caucasian",0.404040404040404,0.338582677165354,127,43,0.013
"State Police - Troop D","Non-caucasian",0.320512820512821,0.351063829787234,94,33,0.168
"State Police - Troop E","Non-caucasian",0.227272727272727,0.194444444444444,108,21,0.089
"State Police - Troop F","Non-caucasian",0.407407407407407,0.32,75,24,0.012
"State Police - Troop G","Non-caucasian",0.2,0.18348623853211,109,20,0.872
"State Police - Troop H","Non-caucasian",0.175438596491228,0.15625,128,20,0.913
"State Police - Troop I","Non-caucasian",0.51063829787234,0.350649350649351,77,27,0.003
"State Police - Troop K","Non-caucasian",0.242424242424242,0.272727272727273,88,24,0.182
"State Police - Troop L","Non-caucasian",0.211111111111111,0.184466019417476,103,19,0.074
"Stratford","Non-caucasian",0.148148148148148,0.156862745098039,51,8,0.812
"Torrington","Non-caucasian",0.189189189189189,0.185567010309278,97,18,0.869
"Trumbull","Non-caucasian",0.307692307692308,0.35,20,7,0.589
"UCONN","Non-caucasian",0.444444444444444,0.434782608695652,23,10,0.083
"Vernon","Non-caucasian",0.327272727272727,0.306666666666667,75,23,0.551
"Wallingford","Non-caucasian",0.397058823529412,0.390243902439024,82,32,0.983
"Waterbury","Non-caucasian",0.428571428571429,0.25,40,10,0.004
"Waterford","Non-caucasian",0.354166666666667,0.396551724137931,58,23,0.148
"Watertown","Non-caucasian",0.25,0.2,5,1,0.576
"West Hartford","Non-caucasian",0.475961538461538,0.465811965811966,234,109,0.379
"West Haven","Non-caucasian",0.238095238095238,0.194444444444444,36,7,0.434
"Westport","Non-caucasian",0.222222222222222,0.219047619047619,105,23,0.935
"Wethersfield","Non-caucasian",0.152173913043478,0.155038759689922,129,20,0.887
"Willimantic","Non-caucasian",0.357142857142857,0.333333333333333,75,25,0.453
"Windsor Locks","Non-caucasian",0,0.1,10,1,0.015
"Woodbridge","Non-caucasian",0.5,0.6,5,3,0.361
"Yale","Non-caucasian",0.5,0.2,15,3,0.08
"Ansonia","Black or Hispanic",0.130434782608696,0.137931034482759,29,4,0.819
"Berlin","Black or Hispanic",0.25,0.222222222222222,9,2,0.571
"Bethel","Black or Hispanic",0.714285714285714,0.5,12,6,0.079
"Bloomfield","Black or Hispanic",0,0.214285714285714,14,3,0.425
"Branford","Black or Hispanic",0.266666666666667,0.231884057971014,69,16,0.077
"Bridgeport","Black or Hispanic",0.1,0.0260869565217391,115,3,0.063
"Bristol","Black or Hispanic",0.24,0.295454545454545,44,13,0.355
"Canton","Black or Hispanic",0.5,0.45,20,9,0.369
"Cheshire","Black or Hispanic",0.5,0.425,40,17,0.064
"Clinton","Black or Hispanic",0.321428571428571,0.32258064516129,62,20,0.953
"Coventry","Black or Hispanic",0.333333333333333,0.428571428571429,7,3,0.134
"Cromwell","Black or Hispanic",0.6,0.5,6,3,0.35
"Danbury","Black or Hispanic",0.272727272727273,0.277777777777778,18,5,0.865
"Darien","Black or Hispanic",0.388888888888889,0.457142857142857,35,16,0.404
"Derby","Black or Hispanic",0.15,0.107142857142857,28,3,0.294
"East Hampton","Black or Hispanic",0.5,0.5,10,5,1
"East Hartford","Black or Hispanic",0.342857142857143,0.316901408450704,142,45,0.704
"Enfield","Black or Hispanic",0.304347826086957,0.321428571428571,28,9,0.678
"Fairfield","Black or Hispanic",0.307692307692308,0.285714285714286,28,8,0.811
"Farmington","Black or Hispanic",0.166666666666667,0.125,8,1,0.537
"Glastonbury","Black or Hispanic",0.372881355932203,0.367816091954023,87,32,0.887
"Greenwich","Black or Hispanic",0.222222222222222,0.125,32,4,0.298
"Groton City","Black or Hispanic",0.294117647058824,0.236842105263158,38,9,0.519
"Groton Town","Black or Hispanic",0.5,0.357142857142857,14,5,0.198
"Hamden","Black or Hispanic",0.3125,0.137931034482759,58,8,0.024
"Hartford","Black or Hispanic",0.142857142857143,0.222222222222222,63,14,0.372
"Madison","Black or Hispanic",0.25,0.2,10,2,0.429
"Manchester","Black or Hispanic",0.4,0.409836065573771,61,25,0.896
"Meriden","Black or Hispanic",0.0789473684210526,0.211009174311927,109,23,0.013
"Middletown","Black or Hispanic",0.370967741935484,0.3125,192,60,0.019
"Milford","Black or Hispanic",0.217391304347826,0.189516129032258,248,47,0.21
"Monroe","Black or Hispanic",0.363636363636364,0.384615384615385,13,5,0.715
"Naugatuck","Black or Hispanic",0.161290322580645,0.188405797101449,138,26,0.111
"New Britain","Black or Hispanic",0.333333333333333,0.247863247863248,117,29,0.209
"New Canaan","Black or Hispanic",0.352941176470588,0.368421052631579,19,7,0.683
"New Haven","Black or Hispanic",0.265625,0.165158371040724,442,73,0.019
"New Milford","Black or Hispanic",0.238095238095238,0.217391304347826,23,5,0.435
"Newington","Black or Hispanic",0.0909090909090909,0.111111111111111,45,5,0.673
"North Haven","Black or Hispanic",0.258064516129032,0.191489361702128,47,9,0.106
"Norwalk","Black or Hispanic",0.108108108108108,0.143884892086331,278,40,0.313
"Norwich","Black or Hispanic",0.278846153846154,0.237113402061856,194,46,0.152
"Old Saybrook","Black or Hispanic",0.363636363636364,0.307692307692308,13,4,0.243
"Orange","Black or Hispanic",0.1,0.0769230769230769,13,1,0.569
"Plainfield","Black or Hispanic",0.357142857142857,0.4,15,6,0.205
"Plainville","Black or Hispanic",0.252747252747253,0.292682926829268,123,36,0.101
"Plymouth","Black or Hispanic",0.0731707317073171,0.087719298245614,57,5,0.498
"Rocky Hill","Black or Hispanic",0.173913043478261,0.205882352941176,34,7,0.505
"SCSU","Black or Hispanic",0.333333333333333,0.363636363636364,11,4,1
"Seymour","Black or Hispanic",0,0.142857142857143,7,1,0.453
"South Windsor","Black or Hispanic",0.173913043478261,0.205882352941176,34,7,0.505
"Southington","Black or Hispanic",0.8,0.75,12,9,0.371
"State Police - Other","Black or Hispanic",0.227272727272727,0.25,40,10,0.655
"State Police - Troop A","Black or Hispanic",0.372549019607843,0.294117647058824,204,60,0.012
"State Police - Troop B","Black or Hispanic",0.166666666666667,0.204081632653061,49,10,0.305
"State Police - Troop C","Black or Hispanic",0.404040404040404,0.311377245508982,167,52,0.003
"State Police - Troop D","Black or Hispanic",0.320512820512821,0.372727272727273,110,41,0.034
"State Police - Troop E","Black or Hispanic",0.227272727272727,0.174603174603175,126,22,0.043
"State Police - Troop F","Black or Hispanic",0.407407407407407,0.297619047619048,84,25,0.002
"State Police - Troop G","Black or Hispanic",0.2,0.185714285714286,140,26,0.979
"State Police - Troop H","Black or Hispanic",0.175438596491228,0.136363636363636,176,24,0.269
"State Police - Troop I","Black or Hispanic",0.51063829787234,0.353535353535354,99,35,0.007
"State Police - Troop K","Black or Hispanic",0.242424242424242,0.25,116,29,0.866
"State Police - Troop L","Black or Hispanic",0.211111111111111,0.176,125,22,0.081
"Stratford","Black or Hispanic",0.148148148148148,0.183333333333333,60,11,0.518
"Torrington","Black or Hispanic",0.189189189189189,0.19811320754717,106,21,0.726
"Trumbull","Black or Hispanic",0.307692307692308,0.375,24,9,0.459
"UCONN","Black or Hispanic",0.444444444444444,0.391304347826087,23,9,0.083
"Vernon","Black or Hispanic",0.327272727272727,0.289156626506024,83,24,0.443
"Wallingford","Black or Hispanic",0.397058823529412,0.356435643564356,101,36,0.308
"Waterbury","Black or Hispanic",0.428571428571429,0.19047619047619,63,12,0
"Waterford","Black or Hispanic",0.354166666666667,0.375,64,24,0.551
"Watertown","Black or Hispanic",0.25,0.166666666666667,6,1,0.439
"West Hartford","Black or Hispanic",0.475961538461538,0.41958041958042,286,120,0.002
"West Haven","Black or Hispanic",0.238095238095238,0.152173913043478,46,7,0.137
"Westport","Black or Hispanic",0.222222222222222,0.196581196581197,117,23,0.367
"Wethersfield","Black or Hispanic",0.152173913043478,0.164021164021164,189,31,0.668
"Willimantic","Black or Hispanic",0.357142857142857,0.2734375,128,35,0.061
"Wilton","Black or Hispanic",0.8,0.666666666666667,6,4,0.121
"Windsor","Black or Hispanic",0,0.25,4,1,0.248
"Windsor Locks","Black or Hispanic",0,0.1,10,1,0.015
"Woodbridge","Black or Hispanic",0.5,0.666666666666667,6,4,0.221
"Yale","Black or Hispanic",0.5,0.363636363636364,22,8,0.531
"Ansonia","Non-caucasian or Hispanic",0.130434782608696,0.137931034482759,29,4,0.819
"Berlin","Non-caucasian or Hispanic",0.25,0.222222222222222,9,2,0.571
"Bethel","Non-caucasian or Hispanic",0.714285714285714,0.5,12,6,0.079
"Bloomfield","Non-caucasian or Hispanic",0,0.214285714285714,14,3,0.425
"Branford","Non-caucasian or Hispanic",0.266666666666667,0.231884057971014,69,16,0.077
"Bridgeport","Non-caucasian or Hispanic",0.1,0.0252100840336134,119,3,0.057
"Bristol","Non-caucasian or Hispanic",0.24,0.295454545454545,44,13,0.355
"Canton","Non-caucasian or Hispanic",0.5,0.428571428571429,21,9,0.237
"Cheshire","Non-caucasian or Hispanic",0.5,0.425,40,17,0.064
"Clinton","Non-caucasian or Hispanic",0.321428571428571,0.32258064516129,62,20,0.953
"Coventry","Non-caucasian or Hispanic",0.333333333333333,0.428571428571429,7,3,0.134
"Cromwell","Non-caucasian or Hispanic",0.6,0.5,6,3,0.35
"Danbury","Non-caucasian or Hispanic",0.272727272727273,0.277777777777778,18,5,0.865
"Darien","Non-caucasian or Hispanic",0.388888888888889,0.457142857142857,35,16,0.404
"Derby","Non-caucasian or Hispanic",0.15,0.107142857142857,28,3,0.294
"East Hampton","Non-caucasian or Hispanic",0.5,0.5,10,5,1
"East Hartford","Non-caucasian or Hispanic",0.342857142857143,0.314685314685315,143,45,0.68
"Enfield","Non-caucasian or Hispanic",0.304347826086957,0.321428571428571,28,9,0.678
"Fairfield","Non-caucasian or Hispanic",0.307692307692308,0.285714285714286,28,8,0.811
"Farmington","Non-caucasian or Hispanic",0.166666666666667,0.125,8,1,0.537
"Glastonbury","Non-caucasian or Hispanic",0.372881355932203,0.363636363636364,88,32,0.797
"Greenwich","Non-caucasian or Hispanic",0.222222222222222,0.125,32,4,0.298
"Groton City","Non-caucasian or Hispanic",0.294117647058824,0.236842105263158,38,9,0.519
"Groton Town","Non-caucasian or Hispanic",0.5,0.357142857142857,14,5,0.198
"Hamden","Non-caucasian or Hispanic",0.3125,0.137931034482759,58,8,0.024
"Hartford","Non-caucasian or Hispanic",0.142857142857143,0.222222222222222,63,14,0.372
"Madison","Non-caucasian or Hispanic",0.25,0.2,10,2,0.429
"Manchester","Non-caucasian or Hispanic",0.4,0.409836065573771,61,25,0.896
"Meriden","Non-caucasian or Hispanic",0.0789473684210526,0.211009174311927,109,23,0.013
"Middletown","Non-caucasian or Hispanic",0.370967741935484,0.3125,192,60,0.019
"Milford","Non-caucasian or Hispanic",0.217391304347826,0.188755020080321,249,47,0.198
"Monroe","Non-caucasian or Hispanic",0.363636363636364,0.384615384615385,13,5,0.715
"Naugatuck","Non-caucasian or Hispanic",0.161290322580645,0.188405797101449,138,26,0.126
"New Britain","Non-caucasian or Hispanic",0.333333333333333,0.247863247863248,117,29,0.209
"New Canaan","Non-caucasian or Hispanic",0.352941176470588,0.368421052631579,19,7,0.683
"New Haven","Non-caucasian or Hispanic",0.265625,0.164785553047404,443,73,0.019
"New Milford","Non-caucasian or Hispanic",0.238095238095238,0.208333333333333,24,5,0.342
"Newington","Non-caucasian or Hispanic",0.0909090909090909,0.108695652173913,46,5,0.711
"North Haven","Non-caucasian or Hispanic",0.258064516129032,0.191489361702128,47,9,0.106
"Norwalk","Non-caucasian or Hispanic",0.108108108108108,0.14336917562724,279,40,0.319
"Norwich","Non-caucasian or Hispanic",0.278846153846154,0.23469387755102,196,46,0.13
"Old Saybrook","Non-caucasian or Hispanic",0.363636363636364,0.307692307692308,13,4,0.243
"Orange","Non-caucasian or Hispanic",0.1,0.0769230769230769,13,1,0.569
"Plainfield","Non-caucasian or Hispanic",0.357142857142857,0.4,15,6,0.205
"Plainville","Non-caucasian or Hispanic",0.252747252747253,0.290322580645161,124,36,0.126
"Plymouth","Non-caucasian or Hispanic",0.0731707317073171,0.087719298245614,57,5,0.498
"Rocky Hill","Non-caucasian or Hispanic",0.173913043478261,0.205882352941176,34,7,0.505
"SCSU","Non-caucasian or Hispanic",0.333333333333333,0.333333333333333,12,4,0.913
"Seymour","Non-caucasian or Hispanic",0,0.142857142857143,7,1,0.453
"South Windsor","Non-caucasian or Hispanic",0.173913043478261,0.205882352941176,34,7,0.505
"Southington","Non-caucasian or Hispanic",0.8,0.75,12,9,0.371
"State Police - Other","Non-caucasian or Hispanic",0.227272727272727,0.25,40,10,0.655
"State Police - Troop A","Non-caucasian or Hispanic",0.372549019607843,0.294117647058824,204,60,0.012
"State Police - Troop B","Non-caucasian or Hispanic",0.166666666666667,0.204081632653061,49,10,0.305
"State Police - Troop C","Non-caucasian or Hispanic",0.404040404040404,0.30952380952381,168,52,0.002
"State Police - Troop D","Non-caucasian or Hispanic",0.320512820512821,0.372727272727273,110,41,0.034
"State Police - Troop E","Non-caucasian or Hispanic",0.227272727272727,0.174603174603175,126,22,0.043
"State Police - Troop F","Non-caucasian or Hispanic",0.407407407407407,0.297619047619048,84,25,0.002
"State Police - Troop G","Non-caucasian or Hispanic",0.2,0.184397163120567,141,26,0.959
"State Police - Troop H","Non-caucasian or Hispanic",0.175438596491228,0.135593220338983,177,24,0.259
"State Police - Troop I","Non-caucasian or Hispanic",0.51063829787234,0.346534653465347,101,35,0.005
"State Police - Troop K","Non-caucasian or Hispanic",0.242424242424242,0.25,116,29,0.866
"State Police - Troop L","Non-caucasian or Hispanic",0.211111111111111,0.174603174603175,126,22,0.072
"Stratford","Non-caucasian or Hispanic",0.148148148148148,0.17741935483871,62,11,0.587
"Torrington","Non-caucasian or Hispanic",0.189189189189189,0.19811320754717,106,21,0.726
"Trumbull","Non-caucasian or Hispanic",0.307692307692308,0.36,25,9,0.571
"UCONN","Non-caucasian or Hispanic",0.444444444444444,0.416666666666667,24,10,0.083
"Vernon","Non-caucasian or Hispanic",0.327272727272727,0.27906976744186,86,24,0.304
"Wallingford","Non-caucasian or Hispanic",0.397058823529412,0.349514563106796,103,36,0.227
"Waterbury","Non-caucasian or Hispanic",0.428571428571429,0.19047619047619,63,12,0
"Waterford","Non-caucasian or Hispanic",0.354166666666667,0.375,64,24,0.551
